time, price
02-02 16:49,"2,300.80"
02-02 16:50,"2,302.56"
02-02 16:52,"2,303.78"
02-02 16:54,"2,304.29"
02-02 16:56,"2,305.13"
02-02 16:58,"2,304.54"
02-02 17:00,"2,304.43"
02-02 17:02,"2,305.21"
02-02 17:04,"2,303.97"
02-02 17:06,"2,305.57"
02-02 17:08,"2,306.10"
02-02 17:09,"2,305.61"
02-02 17:12,"2,305.85"
02-02 17:13,"2,307.44"
02-02 17:16,"2,307.89"
02-02 17:17,"2,307.86"
02-02 17:19,"2,307.83"
02-02 17:21,"2,306.24"
02-02 17:23,"2,304.85"
02-02 17:26,"2,304.91"
02-02 17:27,"2,303.37"
02-02 17:29,"2,303.57"
02-02 17:31,"2,303.70"
02-02 17:34,"2,304.21"
02-02 17:35,"2,304.20"
02-02 17:37,"2,304.58"
02-02 17:40,"2,305.17"
02-03 14:14,"2,302.05"
02-03 14:16,"2,302.99"
02-03 14:18,"2,303.01"
02-03 14:20,"2,303.60"
02-03 14:22,"2,302.37"
02-03 14:24,"2,302.40"
02-03 14:26,"2,303.41"
02-03 14:28,"2,302.80"
02-03 14:30,"2,302.83"
02-03 14:32,"2,303.37"
02-03 14:34,"2,304.37"
02-03 14:36,"2,304.27"
02-03 14:38,"2,304.47"
02-03 14:40,"2,303.51"
02-03 14:42,"2,302.88"
02-03 14:44,"2,302.38"
02-03 14:46,"2,302.90"
02-03 14:48,"2,301.52"
02-03 14:50,"2,302.07"
02-03 14:52,"2,301.23"
02-03 14:54,"2,302.47"
02-03 14:56,"2,301.29"
02-03 14:58,"2,301.03"
02-03 15:00,"2,301.57"
02-03 15:02,"2,300.55"
02-03 15:04,"2,298.88"
02-03 15:06,"2,297.54"
02-03 15:08,"2,295.74"
02-03 15:10,"2,294.69"
02-03 15:12,"2,293.02"
02-03 15:14,"2,296.17"
02-03 15:16,"2,298.59"
02-03 15:18,"2,298.87"
02-03 15:20,"2,299.87"
02-03 15:22,"2,299.85"
02-03 15:24,"2,299.99"
02-03 15:26,"2,300.13"
02-03 15:28,"2,302.91"
02-03 15:30,"2,303.45"
02-03 15:32,"2,302.56"
02-03 15:34,"2,303.33"
02-03 15:36,"2,302.52"
02-03 15:38,"2,302.14"
02-03 15:40,"2,302.20"
02-03 15:42,"2,303.57"
02-03 15:44,"2,305.96"
02-03 15:46,"2,307.37"
02-03 15:48,"2,305.71"
02-03 15:50,"2,305.90"
02-03 15:52,"2,305.61"
02-03 15:54,"2,306.59"
02-03 15:56,"2,305.44"
02-03 15:58,"2,303.95"
02-03 16:00,"2,303.00"
02-03 16:02,"2,303.62"
02-03 16:04,"2,304.02"
02-03 16:06,"2,303.44"
02-03 16:08,"2,305.27"
02-03 16:10,"2,305.70"
02-03 16:12,"2,305.22"
02-03 16:14,"2,305.89"
02-03 16:16,"2,309.86"
02-03 16:18,"2,311.09"
02-03 16:20,"2,311.55"
02-03 16:22,"2,309.28"
02-03 16:24,"2,309.34"
02-03 16:26,"2,309.05"
02-03 16:28,"2,308.11"
02-03 16:30,"2,307.54"
02-03 16:32,"2,307.00"
02-03 16:34,"2,307.50"
02-03 16:36,"2,306.92"
02-03 16:38,"2,305.39"
02-03 16:40,"2,305.22"
02-03 16:42,"2,304.85"
02-03 16:44,"2,305.34"
02-03 16:46,"2,306.04"
02-03 16:48,"2,305.47"
02-03 16:50,"2,305.15"
02-03 16:52,"2,304.73"
02-03 16:54,"2,305.29"
02-03 16:56,"2,305.71"
02-03 16:58,"2,306.44"
02-03 17:00,"2,305.27"
02-03 17:02,"2,305.64"
02-03 17:04,"2,305.15"
02-03 17:06,"2,304.99"
02-03 17:08,"2,305.93"
02-03 17:10,"2,305.75"
02-03 17:12,"2,306.31"
02-03 17:14,"2,306.63"
02-03 17:16,"2,306.69"
02-03 17:18,"2,306.28"
02-03 17:20,"2,306.69"
02-03 17:22,"2,306.16"
02-03 17:24,"2,305.17"
02-03 17:26,"2,305.89"
02-03 17:28,"2,305.20"
02-03 17:30,"2,305.05"
02-03 17:32,"2,305.34"
02-03 17:34,"2,305.88"
02-03 17:36,"2,304.70"
02-03 17:38,"2,305.07"
02-03 17:40,"2,305.50"
02-03 17:42,"2,306.55"
02-03 17:44,"2,307.40"
02-03 17:46,"2,307.43"
02-03 17:48,"2,307.66"
02-03 17:50,"2,309.51"
02-03 17:52,"2,308.70"
02-03 17:54,"2,309.71"
02-03 17:56,"2,310.22"
02-03 17:58,"2,309.78"
02-03 18:00,"2,308.74"
02-03 18:02,"2,307.74"
02-03 18:04,"2,305.99"
02-03 18:06,"2,307.37"
02-03 18:08,"2,307.55"
02-03 18:10,"2,307.25"
02-03 18:12,"2,306.60"
02-03 18:14,"2,307.06"
02-03 18:16,"2,306.79"
02-03 18:18,"2,305.32"
02-03 18:20,"2,304.34"
02-03 18:22,"2,305.24"
02-03 18:24,"2,305.88"
02-03 18:26,"2,305.72"
02-03 18:28,"2,305.81"
02-03 18:30,"2,305.77"
02-03 18:32,"2,304.70"
02-03 18:34,"2,302.63"
02-03 18:36,"2,300.77"
02-03 18:38,"2,299.14"
02-03 18:40,"2,299.85"
02-03 18:42,"2,298.12"
02-03 18:44,"2,297.33"
02-03 18:46,"2,297.25"
02-03 18:48,"2,298.45"
02-03 18:50,"2,298.67"
02-03 18:52,"2,297.75"
02-03 18:54,"2,297.70"
02-03 18:56,"2,297.55"
02-03 18:58,"2,298.06"
02-03 19:00,"2,297.62"
02-03 19:02,"2,297.40"
02-03 19:04,"2,297.39"
02-03 19:06,"2,297.85"
02-03 19:08,"2,298.67"
02-03 19:10,"2,299.62"
02-03 19:12,"2,300.12"
02-03 19:14,"2,299.95"
02-03 19:16,"2,299.82"
02-03 19:18,"2,300.93"
02-03 19:20,"2,301.09"
02-03 19:22,"2,300.32"
02-03 19:24,"2,300.70"
02-03 19:26,"2,300.56"
02-03 19:28,"2,299.96"
02-03 19:30,"2,299.93"
02-03 19:32,"2,299.75"
02-03 19:34,"2,300.03"
02-03 19:36,"2,300.93"
02-03 19:38,"2,300.27"
02-03 19:40,"2,300.54"
02-03 19:42,"2,300.22"
02-03 19:44,"2,300.55"
02-03 19:46,"2,300.62"
02-03 19:48,"2,300.94"
02-03 19:50,"2,300.47"
02-03 19:52,"2,300.62"
02-03 19:54,"2,301.33"
02-03 19:56,"2,301.99"
02-03 19:58,"2,301.55"
02-03 20:00,"2,302.17"
02-03 20:02,"2,302.18"
02-03 20:04,"2,301.41"
02-03 20:06,"2,302.28"
02-03 20:08,"2,301.75"
02-03 20:10,"2,300.58"
02-03 20:12,"2,301.05"
02-03 20:14,"2,301.45"
02-03 20:16,"2,301.17"
02-03 20:18,"2,301.22"
02-03 20:20,"2,300.90"
02-03 20:22,"2,300.53"
02-03 20:24,"2,299.50"
02-03 20:26,"2,299.90"
02-03 20:28,"2,299.76"
02-03 20:30,"2,300.91"
02-03 20:32,"2,300.73"
02-03 20:34,"2,301.05"
02-03 20:36,"2,303.46"
02-03 20:38,"2,303.73"
02-03 20:40,"2,303.54"
02-03 20:42,"2,303.83"
02-03 20:44,"2,303.26"
02-03 20:46,"2,303.13"
02-03 20:48,"2,303.46"
02-03 20:50,"2,302.66"
02-03 20:52,"2,302.59"
02-03 20:54,"2,302.99"
02-03 20:56,"2,302.39"
02-03 20:58,"2,302.27"
02-03 21:00,"2,301.85"
02-03 21:02,"2,303.39"
02-03 21:04,"2,302.93"
02-03 21:06,"2,303.54"
02-03 21:08,"2,302.72"
02-03 21:10,"2,302.82"
02-03 21:12,"2,302.76"
02-03 21:14,"2,303.08"
02-03 21:16,"2,303.08"
02-03 21:18,"2,302.39"
02-03 21:20,"2,302.99"
02-03 21:22,"2,304.38"
02-03 21:24,"2,302.50"
02-03 21:26,"2,302.16"
02-03 21:28,"2,299.82"
02-03 21:30,"2,300.24"
02-03 21:32,"2,299.99"
02-03 21:34,"2,300.34"
02-03 21:36,"2,299.74"
02-03 21:38,"2,299.56"
02-03 21:40,"2,299.85"
02-03 21:42,"2,299.67"
02-03 21:44,"2,299.72"
02-03 21:46,"2,300.35"
02-03 21:48,"2,300.19"
02-03 21:50,"2,298.73"
02-03 21:52,"2,299.11"
02-03 21:54,"2,298.18"
02-03 21:56,"2,298.22"
02-03 21:58,"2,299.52"
02-03 22:00,"2,299.47"
02-03 22:02,"2,298.83"
02-03 22:04,"2,298.92"
02-03 22:06,"2,299.53"
02-03 22:08,"2,300.60"
02-03 22:10,"2,300.33"
02-03 22:12,"2,299.49"
02-03 22:14,"2,296.97"
02-03 22:16,"2,297.78"
02-03 22:18,"2,298.93"
02-03 22:20,"2,298.71"
02-03 22:22,"2,298.33"
02-03 22:24,"2,298.43"
02-03 22:26,"2,298.48"
02-03 22:28,"2,298.61"
02-03 22:30,"2,298.70"
02-03 22:32,"2,298.74"
02-03 22:34,"2,298.25"
02-03 22:36,"2,298.21"
02-03 22:38,"2,298.25"
02-03 22:40,"2,298.24"
02-03 22:42,"2,298.28"
02-03 22:44,"2,298.58"
02-03 22:46,"2,297.48"
02-03 22:48,"2,297.32"
02-03 22:50,"2,297.45"
02-03 22:52,"2,297.35"
02-03 22:54,"2,297.09"
02-03 22:56,"2,297.31"
02-03 22:58,"2,297.78"
02-03 23:00,"2,297.64"
02-03 23:02,"2,297.88"
02-03 23:04,"2,298.40"
02-03 23:06,"2,299.63"
02-03 23:08,"2,299.99"
02-03 23:10,"2,299.71"
02-03 23:12,"2,300.03"
02-03 23:14,"2,299.47"
02-03 23:16,"2,298.72"
02-03 23:18,"2,298.74"
02-03 23:20,"2,296.27"
02-03 23:22,"2,295.59"
02-03 23:24,"2,293.51"
02-03 23:26,"2,294.30"
02-03 23:28,"2,294.88"
02-03 23:30,"2,294.34"
02-03 23:32,"2,294.15"
02-03 23:34,"2,294.43"
02-03 23:36,"2,293.96"
02-03 23:38,"2,293.29"
02-03 23:40,"2,294.16"
02-03 23:42,"2,294.43"
02-03 23:44,"2,293.38"
02-03 23:46,"2,293.58"
02-03 23:48,"2,293.99"
02-03 23:50,"2,293.68"
02-03 23:52,"2,294.06"
02-03 23:54,"2,294.54"
02-03 23:56,"2,294.38"
02-03 23:58,"2,295.11"
02-04 00:00,"2,295.91"
02-04 00:02,"2,295.40"
02-04 00:04,"2,295.29"
02-04 00:06,"2,295.82"
02-04 00:08,"2,295.00"
02-04 00:10,"2,292.86"
02-04 00:12,"2,292.33"
02-04 00:14,"2,292.38"
02-04 00:16,"2,293.56"
02-04 00:18,"2,295.25"
02-04 00:20,"2,296.42"
02-04 00:22,"2,296.30"
02-04 00:24,"2,293.49"
02-04 00:26,"2,291.59"
02-04 00:28,"2,292.36"
02-04 00:30,"2,292.94"
02-04 00:32,"2,293.20"
02-04 00:34,"2,292.27"
02-04 00:36,"2,293.44"
02-04 00:38,"2,294.34"
02-04 00:40,"2,295.22"
02-04 00:42,"2,297.19"
02-04 00:44,"2,296.65"
02-04 00:46,"2,297.01"
02-04 00:48,"2,296.39"
02-04 00:50,"2,296.67"
02-04 00:52,"2,297.31"
02-04 00:54,"2,297.39"
02-04 00:56,"2,296.86"
02-04 00:58,"2,298.27"
02-04 01:00,"2,298.09"
02-04 01:02,"2,298.01"
02-04 01:04,"2,296.97"
02-04 01:06,"2,296.46"
02-04 01:08,"2,295.57"
02-04 01:10,"2,295.84"
02-04 01:12,"2,297.04"
02-04 01:14,"2,297.08"
02-04 01:16,"2,297.72"
02-04 01:18,"2,298.83"
02-04 01:20,"2,298.86"
02-04 01:22,"2,299.43"
02-04 01:24,"2,298.64"
02-04 01:26,"2,299.27"
02-04 01:28,"2,299.66"
02-04 01:30,"2,300.25"
02-04 01:32,"2,301.05"
02-04 01:34,"2,299.44"
02-04 01:36,"2,300.00"
02-04 01:38,"2,301.49"
02-04 01:40,"2,302.55"
02-04 01:42,"2,302.23"
02-04 01:44,"2,301.29"
02-04 01:46,"2,301.48"
02-04 01:48,"2,302.14"
02-04 01:50,"2,302.61"
02-04 01:52,"2,304.40"
02-04 01:54,"2,304.55"
02-04 01:56,"2,304.67"
02-04 01:58,"2,304.17"
02-04 02:00,"2,303.86"
02-04 02:02,"2,304.76"
02-04 02:04,"2,303.67"
02-04 02:06,"2,303.54"
02-04 02:08,"2,303.24"
02-04 02:10,"2,303.19"
02-04 02:12,"2,303.36"
02-04 02:14,"2,303.66"
02-04 02:16,"2,303.74"
02-04 02:18,"2,304.50"
02-04 02:20,"2,305.47"
02-04 02:22,"2,304.15"
02-04 02:24,"2,304.40"
02-04 02:26,"2,303.74"
02-04 02:28,"2,303.63"
02-04 02:30,"2,303.34"
02-04 02:32,"2,303.31"
02-04 02:34,"2,302.63"
02-04 02:36,"2,302.50"
02-04 02:38,"2,302.94"
02-04 02:40,"2,302.62"
02-04 02:42,"2,302.44"
02-04 02:44,"2,302.11"
02-04 02:46,"2,303.04"
02-04 02:48,"2,302.27"
02-04 02:50,"2,303.17"
02-04 02:52,"2,302.72"
02-04 02:54,"2,302.82"
02-04 02:56,"2,302.44"
02-04 02:58,"2,302.78"
02-04 03:00,"2,302.55"
02-04 03:02,"2,302.57"
02-04 03:04,"2,302.37"
02-04 03:06,"2,303.02"
02-04 03:08,"2,302.98"
02-04 03:10,"2,303.05"
02-04 03:12,"2,303.04"
02-04 03:14,"2,303.04"
02-04 03:16,"2,304.41"
02-04 03:18,"2,304.21"
02-04 03:20,"2,303.93"
02-04 03:22,"2,303.69"
02-04 03:24,"2,303.81"
02-04 03:26,"2,304.29"
02-04 03:28,"2,304.31"
02-04 03:30,"2,303.56"
02-04 03:32,"2,303.72"
02-04 03:34,"2,303.32"
02-04 03:36,"2,303.46"
02-04 03:38,"2,303.25"
02-04 03:40,"2,303.21"
02-04 03:42,"2,303.35"
02-04 03:44,"2,303.74"
02-04 03:46,"2,303.26"
02-04 03:48,"2,302.94"
02-04 03:50,"2,301.96"
02-04 03:52,"2,302.25"
02-04 03:54,"2,302.30"
02-04 03:56,"2,302.29"
02-04 03:58,"2,301.95"
02-04 04:00,"2,302.24"
02-04 04:02,"2,302.43"
02-04 04:04,"2,301.18"
02-04 04:06,"2,300.63"
02-04 04:08,"2,300.67"
02-04 04:10,"2,300.22"
02-04 04:12,"2,299.84"
02-04 04:14,"2,299.57"
02-04 04:16,"2,299.67"
02-04 04:18,"2,299.94"
02-04 04:20,"2,299.41"
02-04 04:22,"2,298.41"
02-04 04:24,"2,297.31"
02-04 04:26,"2,297.04"
02-04 04:28,"2,295.50"
02-04 04:30,"2,293.68"
02-04 04:32,"2,295.50"
02-04 04:34,"2,296.68"
02-04 04:36,"2,295.50"
02-04 04:38,"2,297.12"
02-04 04:40,"2,297.19"
02-04 04:42,"2,297.21"
02-04 04:44,"2,297.47"
02-04 04:46,"2,297.08"
02-04 04:48,"2,296.71"
02-04 04:50,"2,297.48"
02-04 04:52,"2,297.67"
02-04 04:54,"2,297.72"
02-04 04:56,"2,298.11"
02-04 04:58,"2,297.17"
02-04 05:00,"2,296.60"
02-04 05:02,"2,296.61"
02-04 05:04,"2,296.71"
02-04 05:06,"2,297.04"
02-04 05:08,"2,297.59"
02-04 05:10,"2,297.94"
02-04 05:12,"2,298.79"
02-04 05:14,"2,300.34"
02-04 05:16,"2,300.24"
02-04 05:18,"2,299.70"
02-04 05:20,"2,297.97"
02-04 05:22,"2,301.11"
02-04 05:24,"2,301.03"
02-04 05:26,"2,302.06"
02-04 05:28,"2,301.52"
02-04 05:30,"2,301.51"
02-04 05:32,"2,301.60"
02-04 05:34,"2,301.13"
02-04 05:36,"2,300.19"
02-04 05:38,"2,300.16"
02-04 05:40,"2,301.09"
02-04 05:42,"2,300.74"
02-04 05:44,"2,300.00"
02-04 05:46,"2,301.12"
02-04 05:48,"2,300.64"
02-04 05:50,"2,300.23"
02-04 05:52,"2,299.77"
02-04 05:54,"2,300.44"
02-04 05:56,"2,299.25"
02-04 05:58,"2,299.07"
02-04 06:00,"2,299.20"
02-04 06:02,"2,298.82"
02-04 06:04,"2,299.71"
02-04 06:06,"2,299.60"
02-04 06:08,"2,300.34"
02-04 06:10,"2,300.56"
02-04 06:12,"2,300.94"
02-04 06:14,"2,300.87"
02-04 06:16,"2,300.98"
02-04 06:18,"2,300.04"
02-04 06:20,"2,301.45"
02-04 06:22,"2,299.93"
02-04 06:24,"2,299.28"
02-04 06:26,"2,299.40"
02-04 06:28,"2,297.95"
02-04 06:30,"2,296.58"
02-04 06:32,"2,295.91"
02-04 06:34,"2,296.04"
02-04 06:36,"2,295.96"
02-04 06:38,"2,298.03"
02-04 06:40,"2,297.43"
02-04 06:42,"2,296.84"
02-04 06:44,"2,295.65"
02-04 06:46,"2,295.95"
02-04 06:48,"2,295.41"
02-04 06:50,"2,294.03"
02-04 06:52,"2,295.10"
02-04 06:54,"2,293.06"
02-04 06:56,"2,292.24"
02-04 06:58,"2,289.35"
02-04 07:00,"2,286.89"
02-04 07:02,"2,287.09"
02-04 07:04,"2,289.95"
02-04 07:06,"2,291.12"
02-04 07:08,"2,290.64"
02-04 07:10,"2,291.56"
02-04 07:12,"2,291.50"
02-04 07:14,"2,290.53"
02-04 07:16,"2,289.87"
02-04 07:18,"2,290.24"
02-04 07:20,"2,287.92"
02-04 07:22,"2,286.86"
02-04 07:24,"2,289.05"
02-04 07:26,"2,289.03"
02-04 07:28,"2,288.68"
02-04 07:30,"2,289.70"
02-04 07:32,"2,290.30"
02-04 07:34,"2,289.98"
02-04 07:36,"2,288.76"
02-04 07:38,"2,288.73"
02-04 07:40,"2,288.55"
02-04 07:42,"2,288.99"
02-04 07:44,"2,289.32"
02-04 07:46,"2,288.81"
02-04 07:48,"2,289.07"
02-04 07:50,"2,289.08"
02-04 07:52,"2,289.82"
02-04 07:54,"2,290.21"
02-04 07:56,"2,291.10"
02-04 07:57,"2,290.03"
02-04 07:59,"2,289.86"
02-04 08:01,"2,289.77"
02-04 08:03,"2,290.69"
02-04 08:05,"2,289.56"
02-04 08:07,"2,289.48"
02-04 08:09,"2,289.45"
02-04 08:11,"2,289.15"
02-04 08:14,"2,289.78"
02-04 08:16,"2,290.15"
02-04 08:18,"2,289.99"
02-04 08:19,"2,290.14"
02-04 08:21,"2,290.04"
02-04 08:23,"2,290.30"
02-04 08:25,"2,290.15"
02-05 08:53,"2,319.10"
02-05 08:53,"2,319.10"
02-05 08:54,"2,320.97"
02-05 08:54,"2,320.97"
02-05 08:55,"2,321.39"
02-05 08:55,"2,321.28"
02-05 08:57,"2,322.01"
02-05 08:57,"2,322.01"
02-05 08:57,"2,322.01"
02-05 08:58,"2,321.59"
05-07 11:19,"3,102.20"
05-07 11:21,"3,091.56"
